OBJECTID,SITE_NAME,SUB_NAME,ADDRESS,LOCATION_DETAIL,CITY,STATE,ZIP_CODE,PHONE,PHONE_EXTENSION,ADDTL_INFO
1,CHILDREN'S HOSPITAL OF PHILADELPHIA ,ADOLESCENT INITIATIVE,3550 MARKET ST,5TH FL,PHILADELPHIA,PA,19104,215-590-3626,,Patients 12 to 24 years of age
2,CHILDREN'S HOSPITAL OF PHILADELPHIA ,FAMILY CARE CENTER,3550 MARKET ST,5TH FL,PHILADELPHIA,PA,19104,215-590-2956,,Patients 12 to 24 years of age
3,CONGRESO HEALTH CENTER,,216 W SOMERSET ST,,PHILADELPHIA,PA,19133,267-765-2272,,
4,DELAWARE VALLEY COMMUNITY HEALTH,FAIRMOUNT PRIMARY CARE CENTER,1412 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130,215-235-9600,,
5,DELAWARE VALLEY COMMUNITY HEALTH,MARIA DE LOS SANTOS HEALTH CENTER,401 W ALLEGHENY AVE,,PHILADELPHIA,PA,19133,215-291-2500,,
6,DREXEL PARTNERSHIP COMPREHENSIVE CARE,DREXEL UNIVERSITY COLLEGE OF MEDICINE,1427 VINE ST,,PHILADELPHIA,PA,19102,215-762-2530,,
7,EINSTEIN MEDICAL CENTER,EINSTEIN HEALTHCARE NETWORK,5501 OLD YORK RD,PALEY 1,PHILADELPHIA,PA,19141,215-456-3465,,
8,ESPERANZA HEALTH CENTER,,2940 N 5TH ST,,PHILADELPHIA,PA,19133,215-221-6633,,
9,ESPERANZA HEALTH CENTER,,3156 KENSINGTON AVE,,PHILADELPHIA,PA,19134,215-831-1100,,
10,ESPERANZA HEALTH CENTER,,4417 N 6TH ST,,PHILADELPHIA,PA,19140,215-302-3600,,
11,FAMILY PRACTICE & COUNSELING NETWORK,ABBOTSFORD FALLS,4700 WISSAHICKON AVE,SUITE 119,PHILADELPHIA,PA,19144,215-843-9720,,
12,FAMILY PRACTICE & COUNSELING NETWORK,THE HEALTH ANNEX,6120 WOODLAND AVE,,PHILADELPHIA,PA,19142,215-727-4721,,
13,GREATER PHILADELPHIA  HEALTH ACTION,FRANKFORD AVENUE HEALTH CENTER,4510 FRANKFORD AVE,,PHILADELPHIA,PA,19124,215-744-1302,,
14,GREATER PHILADELPHIA  HEALTH ACTION,SOUTHEAST HEALTH CENTER,800 WASHINGTON AVE,,PHILADELPHIA,PA,19147,215-339-5100,,
15,GREATER PHILADELPHIA  HEALTH ACTION,WILSON PARK MEDICAL CENTER,2520 SNYDER AVE,,PHILADELPHIA,PA,19145,215-755-7700,,
16,GREATER PHILADELPHIA  HEALTH ACTION,WOODLAND AVE HEALTH CENTER,5000 WOODLAND AVE,,PHILADELPHIA,PA,19143,215-726-9807,,
17,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,MACGREGOR CLINIC,3400 CIVIC CENTER BLVD,"SOUTH PAVILION, 4TH FL",PHILADELPHIA,PA,19104,215-662-6932,,
18,KENSINGTON HOSPITAL,,136 W DIAMOND ST,,PHILADELPHIA,PA,19122,215-291-6009,,
19,MAZZONI CENTER OF FAMILY & COMMUNITY MEDICINE,,1348 BAINBRIDGE ST,,PHILADELPHIA,PA,19147,215-563-0658,,Patients 12 to 24 years of age
20,PENNSYLVANIA HOSPITAL,WOOD CLINIC,700 SPRUCE ST,SUITE 304,PHILADELPHIA,PA,19106,215-829-3521,,
21,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 10,2230 COTTMAN AVE,,PHILADELPHIA,PA,19149,215-685-0639,,
22,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 2,1700 S BROAD ST,,PHILADELPHIA,PA,19145,215-685-1803,,
23,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 3,555 S 43RD ST,,PHILADELPHIA,PA,19104,215-685-7504,,
24,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 4,4400 HAVERFORD AVE,,PHILADELPHIA,PA,19104,215-685-7601,,
25,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 5,1900 N 20TH ST,,PHILADELPHIA,PA,19121,215-685-2933,,
26,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 6,321 W GIRARD AVE,,PHILADELPHIA,PA,19123,215-685-3803,,
27,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 9,131 E CHELTEN AVE,,PHILADELPHIA,PA,19144,215-685-5701,,
28,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,STRAWBERRY MANSION HEALTH CENTER,2840 W DAUPHIN ST,,PHILADELPHIA,PA,19132,215-685-2401,,
29,PHILADELPHIA FIGHT,JONATHAN LAX TREATMENT CENTER,1233 LOCUST ST,SUITE 500,PHILADELPHIA,PA,19107,215-790-1788,,
30,PHMC,CARE CLINIC,1200 CALLOWHILL ST,SUITE 101,PHILADELPHIA,PA,19123,215-825-8220,,
31,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,DOROTHY MANN CENTER FOR PEDIATRIC & ADOLESCENT HIV,160 E ERIE AVE,,PHILADELPHIA,PA,19134,215-427-5284,,Patients 0 to 24 years of age
32,TEMPLE UNIVERSITY,COMPREHENSIVE HIV PROGRAM,1316 W ONTARIO ST,"JONES HALL, 1ST FL",PHILADELPHIA,PA,19140,215-707-2401,,
33,THOMAS JEFFERSON UNIVERSITY,JEFFERSON INFECTIOUS DISEASES,1015 CHESTNUT ST,SUITE 1020,PHILADELPHIA,PA,19107,215-955-7785,,
34,UNIVERSITY OF PENNSYLVANIA,PENN COMMUNITY PRACTICE CLINIC,3910 POWELTON AVE,2ND FL,PHILADELPHIA,PA,19104,215-662-9908,,
35,URBAN SOLUTIONS,,1408 S BROAD ST,,PHILADELPHIA,PA,19146,215-755-6462,,
